transaction_id,account_id,transaction_date,transaction_type,amount,description
76,224,2024-11-17,Withdrawal,39756.5,NEFT
77,1637,2025-03-03,Withdrawal,68741.81,IMPS
78,306,2024-08-21,Withdrawal,23413.6,NEFT
79,1480,2023-08-13,Deposit,46649.34,Online Transfer
80,524,2024-06-08,Deposit,32617.18,NEFT
81,389,2024-09-12,Withdrawal,72378.21,UPI
82,1185,2023-07-23,Withdrawal,90941.0,IMPS
83,1624,2025-01-02,Deposit,73353.81,ATM
84,433,2024-07-14,Withdrawal,32898.2,IMPS
85,507,2024-03-07,Withdrawal,11471.66,IMPS
86,1191,2024-07-04,Withdrawal,47626.74,ATM
87,1300,2023-09-03,Withdrawal,58578.26,NEFT
88,704,2023-08-05,Withdrawal,94917.27,ATM
89,596,2024-06-15,Withdrawal,48057.1,POS
90,1553,2023-08-01,Withdrawal,88437.33,ATM
91,269,2024-05-08,Deposit,26610.12,UPI
92,698,2024-07-07,Withdrawal,82314.03,NEFT
93,1590,2023-01-08,Withdrawal,22358.82,Cash Deposit
94,427,2025-03-12,Withdrawal,48938.01,IMPS
95,1821,2023-04-06,Withdrawal,653.73,IMPS
96,1450,2024-06-19,Withdrawal,98575.36,NEFT
97,753,2023-07-18,Withdrawal,74375.01,NEFT
98,1239,2024-12-22,Deposit,39095.36,NEFT
99,1866,2025-05-21,Deposit,63048.92,POS
100,1367,2025-06-12,Withdrawal,71700.84,Cash Deposit
101,668,2023-07-12,Withdrawal,81897.17,IMPS
102,542,2025-03-30,Withdrawal,45460.67,POS
103,1177,2023-01-21,Deposit,45911.83,Cash Deposit
104,536,2025-03-09,Deposit,15316.01,UPI
105,182,2023-04-25,Deposit,54414.2,Cash Deposit
106,1334,2023-01-15,Withdrawal,35366.41,IMPS
107,1120,2025-04-01,Withdrawal,57827.5,Cash Deposit
108,1805,2024-03-23,Withdrawal,90147.73,IMPS
109,1395,2023-06-17,Withdrawal,39434.44,NEFT
110,1703,2023-08-29,Deposit,54813.1,ATM
111,333,2023-10-03,Deposit,73501.94,IMPS
112,309,2023-06-26,Withdrawal,93534.45,NEFT
113,1835,2024-12-12,Deposit,3918.55,IMPS
114,63,2024-05-13,Deposit,29816.24,ATM
115,309,2023-08-01,Deposit,2061.37,IMPS
116,1644,2024-08-26,Withdrawal,75489.66,Cash Deposit
117,226,2023-04-02,Withdrawal,34884.57,UPI
118,782,2024-10-02,Deposit,99501.1,NEFT
119,1875,2024-03-27,Withdrawal,76836.08,POS
120,1759,2023-10-11,Deposit,43963.39,Online Transfer
121,1904,2024-03-04,Deposit,86585.22,ATM
122,364,2025-05-28,Withdrawal,12628.25,IMPS
123,57,2023-02-10,Withdrawal,37227.6,UPI
124,1738,2023-04-10,Withdrawal,15222.29,Online Transfer
125,1011,2025-02-27,Deposit,44396.24,Cash Deposit
126,1292,2024-11-17,Deposit,23810.63,ATM
127,569,2024-01-11,Deposit,1999.54,IMPS
128,1739,2024-06-06,Withdrawal,17816.55,Online Transfer
129,28,2023-11-26,Deposit,77756.74,Cash Deposit
130,880,2024-05-21,Deposit,66631.65,ATM
131,1762,2025-01-18,Deposit,67878.64,IMPS
132,1174,2025-02-06,Withdrawal,90110.73,NEFT
133,736,2024-12-08,Deposit,11622.41,UPI
134,1435,2024-02-27,Deposit,63440.56,UPI
135,1305,2024-10-30,Withdrawal,7453.37,Online Transfer
136,2,2024-09-24,Deposit,8329.85,ATM
137,91,2025-03-21,Deposit,11286.2,POS
138,1983,2024-01-14,Deposit,68774.64,IMPS
139,409,2024-10-10,Deposit,41058.61,NEFT
140,785,2023-06-04,Withdrawal,27014.62,UPI
141,542,2023-09-06,Withdrawal,27683.11,Cash Deposit
142,1276,2025-04-03,Withdrawal,35344.5,POS
143,1238,2024-12-02,Deposit,86694.54,ATM
144,490,2023-03-20,Withdrawal,23383.38,NEFT
145,863,2023-06-01,Deposit,29605.12,IMPS
146,299,2024-12-27,Withdrawal,65472.7,Cash Deposit
147,84,2024-04-11,Deposit,23986.73,Online Transfer
148,903,2023-05-23,Deposit,50305.37,Cash Deposit
149,76,2024-04-18,Withdrawal,47630.52,Online Transfer
150,1065,2025-04-19,Deposit,99771.61,IMPS
151,1638,2024-04-06,Deposit,6588.37,Cash Deposit
152,1763,2025-01-12,Deposit,4634.76,NEFT
153,1292,2023-11-01,Withdrawal,36868.71,Cash Deposit
154,1862,2025-04-13,Withdrawal,46441.53,NEFT
155,103,2024-01-05,Deposit,79281.83,Online Transfer
156,467,2024-06-20,Withdrawal,60129.81,ATM
157,1637,2025-01-06,Deposit,48409.12,NEFT
158,1530,2023-05-14,Deposit,36172.97,Cash Deposit
159,1223,2024-03-12,Withdrawal,69754.66,NEFT
160,129,2024-02-25,Deposit,33658.06,ATM
161,577,2025-02-16,Withdrawal,85560.66,IMPS
162,1118,2023-01-17,Deposit,93560.42,Cash Deposit
163,1142,2025-03-24,Deposit,14186.12,POS
164,133,2024-08-12,Deposit,74568.9,IMPS
165,616,2023-08-09,Deposit,19860.01,UPI
166,1452,2025-05-12,Withdrawal,43116.26,Cash Deposit
167,611,2025-02-21,Deposit,24411.91,Online Transfer
168,727,2025-02-23,Withdrawal,33124.23,NEFT
169,1301,2024-09-05,Withdrawal,27201.32,UPI
170,123,2023-06-29,Deposit,70599.78,IMPS
171,1436,2025-02-12,Deposit,46826.73,ATM
172,542,2025-06-01,Deposit,70878.64,POS
173,599,2023-08-19,Deposit,86834.99,NEFT
174,532,2023-08-01,Withdrawal,99056.6,POS
175,1759,2023-11-08,Withdrawal,81324.87,POS
176,293,2023-10-27,Withdrawal,87205.72,NEFT
177,1188,2023-10-25,Deposit,243.45,IMPS
178,404,2025-02-22,Withdrawal,70328.53,Online Transfer
179,426,2025-06-01,Withdrawal,57724.38,POS
180,336,2025-06-19,Withdrawal,29750.74,Cash Deposit
181,1729,2023-01-13,Deposit,9340.94,IMPS
182,1276,2023-02-11,Deposit,77954.96,Online Transfer
183,1014,2023-06-17,Deposit,27359.18,POS
184,1656,2023-09-13,Deposit,13131.97,UPI
185,942,2023-03-12,Withdrawal,59471.03,IMPS
186,807,2025-06-02,Deposit,64587.94,ATM
187,200,2024-12-31,Deposit,29051.04,ATM
188,592,2025-02-11,Withdrawal,95237.77,ATM
189,1549,2023-12-27,Deposit,12718.21,IMPS
190,1538,2024-08-07,Deposit,42845.74,IMPS
191,1678,2023-12-31,Deposit,70920.74,IMPS
192,1007,2025-05-03,Deposit,61125.84,ATM
193,1496,2023-08-12,Withdrawal,64362.07,IMPS
194,1797,2023-05-22,Deposit,77448.04,UPI
195,1416,2024-01-29,Withdrawal,15424.29,ATM
196,808,2024-08-17,Deposit,4473.73,UPI
197,1425,2024-07-24,Deposit,62033.02,NEFT
198,1441,2024-09-01,Deposit,17292.8,Online Transfer
199,485,2024-06-14,Deposit,5660.69,IMPS
200,618,2024-06-29,Deposit,42261.76,IMPS
201,1626,2024-08-08,Deposit,3117.9,POS
202,1707,2023-08-13,Deposit,11554.22,IMPS
203,1136,2025-02-26,Withdrawal,57024.23,POS
204,1693,2023-04-09,Withdrawal,73382.75,Online Transfer
205,1268,2025-05-23,Deposit,1903.16,POS
206,696,2023-07-28,Deposit,20209.8,UPI
207,1637,2023-04-02,Withdrawal,74226.24,IMPS
208,1093,2023-04-07,Deposit,60463.21,UPI
209,550,2023-10-26,Withdrawal,37485.83,Online Transfer
210,1522,2023-12-25,Deposit,62978.97,UPI
211,184,2023-08-27,Deposit,57259.31,IMPS
212,580,2023-02-11,Deposit,26142.72,Online Transfer
213,1806,2024-12-11,Deposit,84671.2,Cash Deposit
214,1173,2025-06-18,Withdrawal,97380.68,IMPS
215,510,2023-12-23,Deposit,84977.27,Cash Deposit
216,1080,2023-10-12,Deposit,67779.64,Cash Deposit
217,1228,2023-12-28,Withdrawal,26759.16,ATM
218,1349,2024-06-30,Withdrawal,93044.35,NEFT
219,1621,2025-02-19,Withdrawal,31499.08,NEFT
220,1940,2023-01-27,Deposit,17051.45,NEFT
221,952,2024-07-25,Deposit,93115.72,IMPS
222,1694,2024-05-02,Withdrawal,99114.05,ATM
223,1525,2025-04-11,Deposit,560.66,POS
224,550,2024-12-18,Withdrawal,56012.87,ATM
225,1615,2024-06-26,Withdrawal,92286.49,NEFT
226,525,2023-11-26,Deposit,9876.74,IMPS
227,1682,2025-01-01,Deposit,32376.29,Cash Deposit
228,291,2024-03-28,Deposit,13535.44,IMPS
229,1036,2023-02-24,Withdrawal,52495.03,Online Transfer
230,1368,2024-07-14,Deposit,93081.05,ATM
231,921,2024-02-23,Deposit,21490.21,NEFT
232,184,2024-09-28,Deposit,84493.63,UPI
233,240,2025-02-10,Withdrawal,45760.5,NEFT
234,1728,2025-03-24,Deposit,92109.22,IMPS
235,1092,2024-12-23,Deposit,45580.11,Cash Deposit
236,615,2023-12-22,Withdrawal,5631.61,UPI
237,1277,2024-03-31,Deposit,81398.55,ATM
238,734,2025-03-31,Deposit,27151.02,Online Transfer
239,554,2023-12-31,Withdrawal,21071.45,IMPS
240,1018,2024-03-09,Withdrawal,58773.12,Online Transfer
241,568,2024-10-21,Deposit,95656.4,Online Transfer
242,1134,2023-04-15,Deposit,7220.96,NEFT
243,1280,2023-04-04,Withdrawal,64299.53,NEFT
244,843,2024-09-03,Withdrawal,65051.56,NEFT
245,1926,2024-07-12,Withdrawal,26708.24,POS
246,812,2024-04-16,Deposit,77671.63,POS
247,1082,2025-05-21,Deposit,98879.06,NEFT
248,597,2024-03-29,Withdrawal,20439.43,Cash Deposit
249,1566,2025-02-21,Deposit,77655.62,Cash Deposit
250,365,2023-11-21,Deposit,28527.44,UPI
251,1784,2024-09-27,Withdrawal,22279.06,ATM
252,1707,2025-04-24,Withdrawal,93036.0,NEFT
253,179,2023-08-20,Withdrawal,39753.47,POS
254,1416,2025-05-12,Deposit,28667.51,IMPS
255,1577,2023-11-09,Withdrawal,69916.9,NEFT
256,227,2024-07-23,Deposit,91673.76,UPI
257,1050,2024-11-14,Withdrawal,3574.68,IMPS
258,126,2024-10-10,Withdrawal,88814.33,UPI
259,1837,2025-02-13,Deposit,45283.9,ATM
260,1153,2024-05-06,Deposit,42546.41,UPI
261,1153,2023-03-16,Withdrawal,49532.99,Cash Deposit
262,1268,2025-04-17,Withdrawal,82424.13,IMPS
263,1123,2023-03-08,Withdrawal,73991.05,UPI
264,746,2023-08-17,Withdrawal,96293.21,Cash Deposit
265,396,2024-11-24,Deposit,96314.1,ATM
266,125,2023-02-17,Deposit,89558.67,Cash Deposit
267,683,2023-12-07,Withdrawal,376.37,UPI
268,1007,2023-08-04,Deposit,62086.91,POS
269,1042,2024-11-05,Withdrawal,71685.2,ATM
270,796,2023-09-12,Deposit,46290.22,NEFT
271,809,2024-01-22,Deposit,47095.55,IMPS
272,1927,2024-07-27,Withdrawal,15987.0,NEFT
273,1702,2024-08-03,Deposit,30002.11,IMPS
274,363,2024-11-12,Deposit,15367.94,Online Transfer
275,63,2023-01-30,Withdrawal,25100.01,NEFT
276,1167,2024-05-28,Deposit,65875.79,UPI
277,1396,2023-09-16,Withdrawal,5057.19,POS
278,187,2024-11-17,Deposit,34569.17,IMPS
279,956,2024-12-22,Withdrawal,86110.1,NEFT
280,1410,2023-09-18,Withdrawal,38458.37,IMPS
281,856,2023-12-30,Withdrawal,35867.26,Online Transfer
282,651,2024-04-03,Withdrawal,56545.55,NEFT
283,146,2023-01-05,Deposit,11548.94,IMPS
284,160,2025-03-25,Deposit,17518.03,ATM
285,635,2025-01-28,Withdrawal,73135.37,POS
286,1171,2024-03-02,Deposit,52633.95,POS
287,1382,2023-01-19,Withdrawal,97267.33,NEFT
288,674,2025-05-14,Deposit,19487.44,Online Transfer
289,587,2024-09-29,Withdrawal,3406.19,Online Transfer
290,587,2023-02-06,Withdrawal,92466.0,NEFT
291,1696,2024-10-07,Withdrawal,37287.25,Online Transfer
292,1011,2025-03-11,Withdrawal,52740.74,Online Transfer
293,251,2024-03-20,Deposit,56215.52,IMPS
294,1206,2024-03-04,Withdrawal,28048.47,UPI
295,1281,2024-09-24,Deposit,78720.58,Online Transfer
296,1697,2025-06-19,Deposit,84433.15,POS
297,953,2023-08-09,Withdrawal,63819.74,UPI
298,244,2024-05-17,Withdrawal,35697.21,Online Transfer
299,1725,2023-06-12,Deposit,3169.83,POS
300,490,2024-03-23,Withdrawal,65707.97,IMPS
301,1817,2023-01-15,Withdrawal,7422.63,POS
302,1732,2023-02-16,Withdrawal,8214.35,UPI
303,207,2025-05-25,Deposit,97817.07,IMPS
304,807,2025-03-06,Deposit,97667.56,POS
305,83,2023-07-24,Withdrawal,43028.98,ATM
306,866,2023-02-23,Withdrawal,68651.73,IMPS
307,190,2024-03-09,Deposit,67933.07,IMPS
308,1432,2024-08-21,Withdrawal,73519.33,Cash Deposit
309,11,2024-12-23,Deposit,51033.77,IMPS
310,1867,2023-09-15,Deposit,46209.46,Cash Deposit
311,1458,2023-02-25,Deposit,73474.09,UPI
312,736,2023-02-13,Deposit,99189.88,UPI
313,960,2024-05-27,Deposit,7518.18,Online Transfer
314,53,2023-07-02,Deposit,33170.91,UPI
315,946,2023-03-14,Withdrawal,13166.64,IMPS
316,1608,2024-04-26,Withdrawal,67004.87,Online Transfer
317,1726,2023-02-21,Deposit,84553.88,ATM
318,246,2024-03-18,Withdrawal,43107.31,UPI
319,1002,2024-01-05,Withdrawal,63424.63,NEFT
320,1016,2023-11-27,Withdrawal,84834.37,Cash Deposit
321,1849,2023-03-10,Withdrawal,53786.44,Online Transfer
322,1560,2024-07-19,Withdrawal,92957.99,ATM
323,854,2023-06-07,Deposit,75760.23,POS
324,1437,2023-12-04,Withdrawal,51507.77,ATM
325,767,2023-05-11,Withdrawal,84399.88,NEFT
326,1366,2023-12-19,Deposit,71564.53,IMPS
327,942,2023-12-29,Deposit,94192.4,ATM
328,799,2024-11-11,Withdrawal,9358.04,Online Transfer
329,1838,2023-03-20,Withdrawal,70098.16,UPI
330,1527,2024-11-08,Deposit,83707.1,IMPS
331,946,2024-12-01,Withdrawal,84271.14,IMPS
332,326,2025-03-17,Withdrawal,51599.37,POS
333,406,2023-06-04,Deposit,43196.59,UPI
334,1850,2025-06-07,Withdrawal,83279.92,NEFT
335,1637,2023-02-02,Withdrawal,30384.11,UPI
336,1833,2024-09-12,Withdrawal,54183.91,Cash Deposit
337,569,2025-05-27,Deposit,31581.17,NEFT
338,1682,2023-08-21,Deposit,53541.33,NEFT
339,1327,2024-03-19,Withdrawal,7558.36,NEFT
340,14,2023-03-02,Deposit,64032.49,POS
341,549,2023-03-29,Withdrawal,32287.21,Online Transfer
342,1088,2024-03-18,Withdrawal,57038.67,NEFT
343,742,2024-01-03,Withdrawal,25918.03,POS
344,911,2023-02-21,Deposit,42340.47,NEFT
345,1151,2023-03-17,Withdrawal,39894.84,IMPS
346,649,2023-01-26,Deposit,89419.12,IMPS
347,203,2023-11-17,Deposit,29680.66,NEFT
348,1307,2023-05-02,Withdrawal,2841.22,Online Transfer
349,1901,2023-05-02,Deposit,4839.55,ATM
350,1238,2024-03-30,Withdrawal,80601.67,UPI
351,382,2023-07-08,Withdrawal,56721.68,IMPS
352,1511,2024-11-30,Withdrawal,54626.43,Cash Deposit
353,1744,2025-01-01,Deposit,23891.49,Cash Deposit
354,1050,2023-07-07,Deposit,10564.85,IMPS
355,1722,2025-01-31,Withdrawal,50282.87,NEFT
356,1953,2025-06-05,Withdrawal,25712.95,UPI
357,779,2025-04-17,Withdrawal,22629.9,NEFT
358,1474,2024-06-12,Withdrawal,36402.15,NEFT
359,1542,2024-01-26,Withdrawal,66541.2,Cash Deposit
360,1598,2024-11-02,Withdrawal,99699.01,IMPS
361,490,2024-05-10,Withdrawal,92577.99,Cash Deposit
362,1352,2025-04-26,Deposit,23494.68,IMPS
363,526,2025-04-10,Deposit,3365.24,NEFT
364,1407,2023-05-28,Deposit,27711.97,POS
365,604,2024-06-03,Deposit,63790.09,UPI
366,958,2023-05-10,Withdrawal,78137.63,Online Transfer
367,1867,2024-11-15,Deposit,32205.41,UPI
368,220,2024-06-25,Deposit,42991.01,UPI
369,1336,2024-12-15,Deposit,41475.83,UPI
370,598,2024-02-28,Deposit,49633.25,Online Transfer
371,1606,2023-12-25,Deposit,45751.23,ATM
372,1668,2023-01-19,Deposit,47226.07,NEFT
373,1812,2024-07-08,Deposit,14557.08,IMPS
374,435,2023-10-07,Withdrawal,46040.89,POS
375,149,2025-05-14,Withdrawal,31640.24,NEFT
376,1956,2023-08-03,Withdrawal,58199.14,NEFT
377,729,2023-09-18,Withdrawal,15508.38,Cash Deposit
378,1810,2024-09-20,Deposit,96291.44,POS
379,705,2024-09-13,Withdrawal,90506.66,POS
380,1713,2024-01-03,Deposit,42048.83,IMPS
381,1169,2023-05-07,Deposit,63765.57,NEFT
382,273,2024-01-26,Withdrawal,57528.8,NEFT
383,413,2023-10-08,Deposit,89762.96,POS
384,1745,2023-02-16,Deposit,25772.93,UPI
385,895,2024-04-08,Withdrawal,83174.21,ATM
386,182,2025-04-29,Deposit,78663.71,Cash Deposit
387,733,2024-02-27,Deposit,72594.6,UPI
388,747,2024-08-30,Deposit,45449.9,Online Transfer
389,587,2024-10-06,Withdrawal,99619.63,Online Transfer
390,1872,2024-12-07,Withdrawal,33371.81,Cash Deposit
391,1261,2023-09-28,Deposit,38679.27,IMPS
392,1808,2024-03-25,Deposit,74635.34,ATM
393,1442,2025-05-03,Withdrawal,14895.65,Cash Deposit
394,362,2023-10-21,Withdrawal,7879.06,Online Transfer
395,1177,2023-06-20,Withdrawal,73896.78,Online Transfer
396,212,2024-02-14,Deposit,55095.27,POS
397,1070,2024-07-18,Deposit,59210.67,ATM
398,1782,2025-02-24,Withdrawal,305.59,IMPS
399,1612,2023-07-16,Withdrawal,81758.1,NEFT
400,1402,2024-05-22,Deposit,75105.89,UPI
401,1263,2023-12-17,Deposit,40016.23,UPI
402,163,2023-05-31,Withdrawal,14722.33,Cash Deposit
403,1779,2024-06-08,Withdrawal,78298.0,Online Transfer
404,273,2024-03-16,Deposit,54106.06,POS
405,368,2023-11-09,Withdrawal,26024.01,ATM
406,1843,2023-08-30,Withdrawal,24992.08,NEFT
407,997,2023-10-24,Deposit,82632.94,POS
408,396,2025-01-20,Withdrawal,91708.01,ATM
409,376,2025-01-08,Deposit,96655.74,Cash Deposit
410,1699,2024-01-26,Withdrawal,80063.68,Online Transfer
411,919,2023-05-30,Withdrawal,42286.98,ATM
412,608,2023-07-13,Withdrawal,40601.14,UPI
413,1189,2023-04-26,Withdrawal,46511.93,Cash Deposit
414,74,2023-09-21,Withdrawal,57372.01,UPI
415,1258,2023-04-21,Withdrawal,79008.47,Online Transfer
416,1024,2023-07-16,Deposit,30409.46,UPI
417,1362,2024-02-08,Deposit,74561.42,POS
418,393,2023-08-14,Deposit,83989.92,POS
419,731,2023-06-28,Deposit,58096.19,NEFT
420,1114,2024-01-13,Deposit,98753.19,Cash Deposit
421,685,2023-01-03,Deposit,76072.06,Cash Deposit
422,647,2025-02-18,Withdrawal,76108.43,Online Transfer
423,1889,2023-06-07,Deposit,84151.87,UPI
424,1052,2024-03-23,Deposit,89534.27,Online Transfer
425,1994,2024-06-05,Withdrawal,1429.49,ATM
426,531,2024-12-01,Deposit,49375.0,NEFT
427,1639,2025-03-03,Withdrawal,5815.73,Cash Deposit
428,54,2024-11-25,Deposit,69510.61,NEFT
429,1174,2024-03-16,Withdrawal,15799.55,UPI
430,508,2023-07-14,Deposit,10927.29,ATM
431,1925,2024-07-16,Deposit,57516.86,NEFT
432,1618,2023-05-21,Withdrawal,60165.91,NEFT
433,1797,2023-08-21,Deposit,11464.33,POS
434,1730,2023-07-18,Withdrawal,1218.79,UPI
435,1891,2024-09-16,Withdrawal,38137.81,Online Transfer
436,550,2024-01-25,Deposit,63054.16,Online Transfer
437,1833,2025-05-21,Withdrawal,63051.99,Cash Deposit
438,1350,2025-03-30,Deposit,36923.47,POS
439,926,2024-08-07,Deposit,96862.24,ATM
440,592,2024-03-05,Deposit,13245.82,UPI
441,916,2024-03-27,Deposit,32999.72,IMPS
442,1214,2024-01-20,Deposit,16345.7,UPI
443,555,2024-01-05,Deposit,94076.5,Online Transfer
444,1745,2023-07-15,Deposit,6212.85,UPI
445,1891,2024-10-09,Withdrawal,42308.32,Cash Deposit
446,1231,2024-04-25,Withdrawal,20035.38,Online Transfer
447,1232,2024-05-29,Deposit,62949.95,IMPS
448,1510,2023-05-27,Deposit,44144.72,UPI
449,1039,2024-04-10,Deposit,60774.76,NEFT
450,635,2023-03-26,Deposit,80669.66,Cash Deposit
451,342,2024-02-18,Withdrawal,66193.77,POS
452,1894,2024-06-15,Deposit,25168.91,Cash Deposit
453,1341,2024-07-31,Withdrawal,5456.77,Online Transfer
454,1539,2024-03-12,Withdrawal,14399.12,UPI
455,146,2025-05-11,Deposit,46565.97,NEFT
456,20,2023-02-09,Withdrawal,40191.07,IMPS
457,1000,2025-01-28,Withdrawal,7230.08,IMPS
458,1423,2023-12-28,Withdrawal,16989.53,ATM
459,665,2023-08-15,Deposit,9936.57,NEFT
460,751,2024-06-15,Deposit,59408.85,NEFT
461,931,2025-01-23,Deposit,45009.31,UPI
462,1257,2023-11-12,Withdrawal,90001.69,Online Transfer
463,802,2023-06-02,Withdrawal,61963.05,ATM
464,685,2024-09-26,Withdrawal,45029.32,ATM
465,1722,2024-01-09,Deposit,39333.51,ATM
466,571,2023-08-30,Deposit,8711.19,IMPS
467,742,2024-01-22,Deposit,25766.18,IMPS
468,1876,2024-03-28,Deposit,17104.49,Online Transfer
469,1210,2024-01-20,Deposit,35023.71,Cash Deposit
470,1746,2024-06-30,Withdrawal,18700.17,IMPS
471,1979,2023-07-28,Withdrawal,51341.87,Cash Deposit
472,45,2024-10-21,Deposit,96326.58,Cash Deposit
473,234,2023-10-05,Deposit,12660.0,IMPS
474,1770,2024-12-20,Deposit,91497.02,Online Transfer
475,278,2024-06-23,Withdrawal,88380.93,UPI
476,1471,2023-05-10,Deposit,30641.9,NEFT
477,1523,2023-07-16,Withdrawal,34135.2,Cash Deposit
478,1300,2024-12-16,Withdrawal,44263.44,ATM
479,290,2023-01-09,Withdrawal,22176.47,ATM
480,1566,2023-10-06,Withdrawal,15319.84,NEFT
481,1448,2025-04-26,Deposit,28178.85,ATM
482,1807,2023-05-29,Deposit,17024.24,UPI
483,1011,2024-12-17,Deposit,50689.73,UPI
484,1136,2024-04-03,Withdrawal,9297.52,POS
485,1314,2023-11-11,Withdrawal,78443.14,NEFT
486,657,2025-02-19,Deposit,53005.42,Cash Deposit
487,977,2024-03-23,Deposit,41689.32,NEFT
488,607,2023-05-16,Deposit,31887.03,Cash Deposit
489,1635,2024-09-26,Deposit,41819.54,NEFT
490,1838,2023-03-04,Withdrawal,90397.06,Online Transfer
491,1164,2024-11-08,Withdrawal,22640.31,UPI
492,1996,2023-09-14,Deposit,60969.36,IMPS
493,811,2024-04-07,Deposit,7747.26,NEFT
494,54,2024-05-25,Withdrawal,83097.44,NEFT
495,756,2023-10-09,Deposit,65151.44,Online Transfer
496,566,2023-01-06,Deposit,85346.03,Cash Deposit
497,450,2023-06-27,Deposit,82009.65,POS
498,574,2025-01-21,Deposit,67631.73,NEFT
499,1850,2024-07-14,Withdrawal,9549.38,ATM
500,1304,2024-03-18,Deposit,27951.63,IMPS
501,1033,2024-05-03,Deposit,17154.38,UPI
502,948,2024-06-12,Withdrawal,26712.44,NEFT
503,824,2024-01-29,Withdrawal,11538.13,Online Transfer
504,1414,2024-12-18,Deposit,58755.69,NEFT
